mediaId,title,primary_genre,genres,popularity,meanScore,top_tags
150672,[Oshi no Ko],Drama,Drama|Mystery|Psychological|Supernatural,288792,84,Acting|Tragedy|Idol
166531,[Oshi no Ko] 2nd Season,Drama,Drama|Mystery|Psychological|Supernatural,152403,85,Acting|Revenge|Twins
161645,Kusuriya no Hitorigoto,Drama,Drama|Mystery,263212,88,Female Protagonist|Medicine|Ancient China
176301,Kusuriya no Hitorigoto 2nd Season,Drama,Drama|Mystery,160223,88,Medicine|Female Protagonist|Royal Affairs
108268,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,Fantasy,Fantasy|Slice of Life,102412,78,Class Struggle|Medieval|Reincarnation
113693,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,Fantasy,Fantasy|Slice of Life,65355,79,Isekai|Reincarnation|Class Struggle
121176,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,Drama,Drama|Fantasy|Slice of Life,50772,80,Isekai|Female Protagonist|Class Struggle
178675,Bad Girl,Comedy,Comedy|Romance,15990,69,School|Female Protagonist|Primarily Female Cast
20722,Barakamon,Slice of Life,Slice of Life,143901,82,Rural|Calligraphy|Found Family
33,Kenpuu Denki Berserk,Action,Action|Adventure|Drama|Fantasy|Horror|Supernatural,163229,84,Tragedy|Seinen|Swordplay
889,BLACK LAGOON,Action,Action|Adventure|Drama|Thriller,229157,78,Crime|Ensemble Cast|Guns
1519,BLACK LAGOON: The Second Barrage,Action,Action|Adventure|Drama|Thriller,98655,80,Crime|Guns|Anti-Hero
4901,BLACK LAGOON: Roberta's Blood Trail,Action,Action|Adventure|Drama|Thriller,61630,79,Guns|Gore|Noir
130003,Bocchi the Rock!,Comedy,Comedy|Music|Slice of Life,231642,87,Band|Female Protagonist|Primarily Female Cast
155907,Buddy Daddies,Action,Action|Comedy|Drama|Slice of Life,112537,80,Family Life|Found Family|Assassins
141391,Yofukashi no Uta,Comedy,Comedy|Psychological|Romance|Slice of Life|Supernatural,240063,79,Vampire|Urban Fantasy|Urban
175914,Yofukashi no Uta Season 2,Comedy,Comedy|Psychological|Romance|Slice of Life|Supernatural,78509,83,Vampire|Urban Fantasy|Urban
184279,Ballpark de Tsukamaete!,Comedy,Comedy|Romance|Slice of Life|Sports,16781,69,Ensemble Cast|Seinen|Work
127230,Chainsaw Man,Action,Action|Drama|Horror|Supernatural,550312,83,Demons|Monster Boy|Urban Fantasy
2167,CLANNAD,Comedy,Comedy|Drama|Romance|Slice of Life|Supernatural,275125,77,School|Coming of Age|Ensemble Cast
4181,CLANNAD: After Story,Drama,Drama|Romance|Slice of Life|Supernatural,208179,87,Family Life|Coming of Age|Tragedy
1,Cowboy Bebop,Action,Action|Adventure|Drama|Sci-Fi,431372,86,Space|Crime|Episodic
120377,Cyberpunk: Edgerunners,Action,Action|Drama|Psychological|Sci-Fi,322632,85,Cyberpunk|Tragedy|Crime
171018,Dandadan,Action,Action|Comedy|Drama|Romance|Sci-Fi|Supernatural,322042,83,Urban Fantasy|Youkai|Ghost
