anime_id,title,format,episodes,duration,status,genres,average_score,popularity,studios
1,Cowboy Bebop,TV,26,24,FINISHED,"Action, Adventure, Drama, Sci-Fi",86,431372,"Sunrise, Bandai Visual, Bandai Entertainment"
6,Trigun,TV,26,24,FINISHED,"Action, Adventure, Comedy, Drama, Sci-Fi",80,156955,"MADHOUSE, Nippon Victor, Arts Pro, Funimation"
16,Honey and Clover,TV,24,23,FINISHED,"Comedy, Drama, Romance, Slice of Life",76,55583,"J.C.STAFF, Nomad, Genco, Viz Media, Asmik Ace, Dentsu, Discotek, Fuji TV"
19,Monster,TV,74,24,FINISHED,"Drama, Horror, Mystery, Psychological, Thriller",88,304626,"MADHOUSE, VAP, Viz Media, Nippon Television Network"
45,Rurouni Kenshin,TV,94,25,FINISHED,"Action, Adventure, Comedy, Drama, Romance",79,84631,"Studio Gallop, Studio DEEN, SME Visual Works, Fuji TV, Media Blasters, Aniplex of America"
245,GTO: Great Teacher Onizuka,TV,43,25,FINISHED,"Comedy, Drama, Slice of Life",84,160965,"Studio Pierrot, Discotek, Aniplex"
270,Hellsing,TV,13,23,FINISHED,"Action, Horror, Supernatural",72,131288,"GONZO, Funimation, Pioneer LDC"
457,MUSHI-SHI,TV,26,25,FINISHED,"Adventure, Fantasy, Mystery, Psychological, Slice of Life, Supernatural",85,179778,"Artland, Marvelous Entertainment, Funimation, Delfi Sound"
777,Hellsing Ultimate,OVA,10,50,FINISHED,"Action, Horror, Supernatural",81,168968,"MADHOUSE, NBCUniversal Entertainment Japan, Satelight, Funimation, StudioRF Inc., Graphinica"
853,Ouran High School Host Club,TV,26,24,FINISHED,"Comedy, Drama, Romance, Slice of Life",80,237930,"bones, VAP, Nomad, Funimation, Nippon Television Network, Hakusensha"
918,Gintama,TV,201,25,FINISHED,"Action, Comedy, Drama, Sci-Fi",85,271934,"Sunrise, TV Tokyo, Aniplex, Dentsu, Trinity Sound, Audio Highs, Miracle Robo"
934,When They Cry,TV,26,24,FINISHED,"Horror, Mystery, Psychological, Supernatural, Thriller",75,166345,"Studio DEEN, Frontier Works, Sotsu, DAX Production, Sentai Filmworks"
1887,Lucky☆Star,TV,24,24,FINISHED,"Comedy, Slice of Life",75,134906,"Kyoto Animation, Lantis, Rakuonsha, Lucky Paradise, Funimation"
2001,Gurren Lagann,TV,27,24,FINISHED,"Action, Comedy, Drama, Mecha, Romance, Sci-Fi",85,344930,"Gainax, Aniplex, Konami, Half H.P Studio, Bandai, Bandai Entertainment, Aniplex of America"
2251,Baccano!,TV,13,25,FINISHED,"Action, Mystery, Supernatural",81,179924,"Aniplex, Brain's Base, Aniplex of America, Sakura Create, Happinet Pictures"
2593,the Garden of sinners Chapter 1: Thanatos. (Overlooking View),MOVIE,1,50,FINISHED,"Action, Mystery, Supernatural, Thriller",73,105041,"Aniplex, ufotable, Kodansha, Aniplex of America, Notes"
