id,name,entries,file
2,matchai,325,anilist_data_20260311_130200/user_2_matchai.json
5,kaotikmynd,172,anilist_data_20260311_130200/user_5_kaotikmynd.json
7,jamiejakov,424,anilist_data_20260311_130200/user_7_jamiejakov.json
11,Sabas,232,anilist_data_20260311_130200/user_11_Sabas.json
12,JesterOW,404,anilist_data_20260311_130200/user_12_JesterOW.json
19,rayanp,139,anilist_data_20260311_130200/user_19_rayanp.json
22,Garlock,809,anilist_data_20260311_130200/user_22_Garlock.json
23,JPFlySolo,813,anilist_data_20260311_130200/user_23_JPFlySolo.json
44,redball,677,anilist_data_20260311_130200/user_44_redball.json
45,gray,1399,anilist_data_20260311_130200/user_45_gray.json
46,Tylanthia,693,anilist_data_20260311_130200/user_46_Tylanthia.json
47,emuy,1338,anilist_data_20260311_130200/user_47_emuy.json
54,fuyutsukikaru,992,anilist_data_20260311_130200/user_54_fuyutsukikaru.json
55,infernotez,1223,anilist_data_20260311_130200/user_55_infernotez.json
58,Oavatos,955,anilist_data_20260311_130200/user_58_Oavatos.json
61,Tsundere,219,anilist_data_20260311_130200/user_61_Tsundere.json
69,Astrogaijin,1271,anilist_data_20260311_130200/user_69_Astrogaijin.json
70,bookkid900,1345,anilist_data_20260311_130200/user_70_bookkid900.json
76,Tigga,1817,anilist_data_20260311_130200/user_76_Tigga.json
84,Krafty,400,anilist_data_20260311_130200/user_84_Krafty.json
87,deadskin,782,anilist_data_20260311_130200/user_87_deadskin.json
88,JasonVeyron,526,anilist_data_20260311_130200/user_88_JasonVeyron.json
90,kyonodera,1488,anilist_data_20260311_130200/user_90_kyonodera.json
95,Panzercomfywagon,728,anilist_data_20260311_130200/user_95_Panzercomfywagon.json
99,Xanneo,257,anilist_data_20260311_130200/user_99_Xanneo.json
102,Alexiz,664,anilist_data_20260311_130200/user_102_Alexiz.json
103,bloodfoox,230,anilist_data_20260311_130200/user_103_bloodfoox.json
107,Inorinne,1877,anilist_data_20260311_130200/user_107_Inorinne.json
110,Robin,1903,anilist_data_20260311_130200/user_110_Robin.json
119,Scko,837,anilist_data_20260311_130200/user_119_Scko.json
120,Kevin,635,anilist_data_20260311_130200/user_120_Kevin.json
125,MrMarine,95,anilist_data_20260311_130200/user_125_MrMarine.json
134,umizi,183,anilist_data_20260311_130200/user_134_umizi.json
137,Terrorek,72,anilist_data_20260311_130200/user_137_Terrorek.json
138,WikyWill,2391,anilist_data_20260311_130200/user_138_WikyWill.json
141,autospirit,551,anilist_data_20260311_130200/user_141_autospirit.json
143,CupidNico,552,anilist_data_20260311_130200/user_143_CupidNico.json
144,AksumkA,622,anilist_data_20260311_130200/user_144_AksumkA.json
151,0svvan0,451,anilist_data_20260311_130200/user_151_0svvan0.json
158,YumeTsuretekita,1569,anilist_data_20260311_130200/user_158_YumeTsuretekita.json
168,amazedkidonbike,762,anilist_data_20260311_130200/user_168_amazedkidonbike.json
169,violaxcore,1536,anilist_data_20260311_130200/user_169_violaxcore.json
171,Kyubey,485,anilist_data_20260311_130200/user_171_Kyubey.json
172,SolarAquarion,453,anilist_data_20260311_130200/user_172_SolarAquarion.json
173,tekkaadan,897,anilist_data_20260311_130200/user_173_tekkaadan.json
174,Vladz0r,725,anilist_data_20260311_130200/user_174_Vladz0r.json
183,RexCalibur,165,anilist_data_20260311_130200/user_183_RexCalibur.json
188,user188,381,anilist_data_20260311_130200/user_188_user188.json
196,lostradiant,910,anilist_data_20260311_130200/user_196_lostradiant.json
198,DarkSynopsis,1402,anilist_data_20260311_130200/user_198_DarkSynopsis.json
214,Proof,1228,anilist_data_20260311_130200/user_214_Proof.json
215,Juramate,1968,anilist_data_20260311_130200/user_215_Juramate.json
229,dragonandante,1085,anilist_data_20260311_130200/user_229_dragonandante.json
231,superdenseoni,607,anilist_data_20260311_130200/user_231_superdenseoni.json
238,mirco,551,anilist_data_20260311_130200/user_238_mirco.json
242,drojf,598,anilist_data_20260311_130200/user_242_drojf.json
245,Killex,1806,anilist_data_20260311_130200/user_245_Killex.json
264,BARD,254,anilist_data_20260311_130200/user_264_BARD.json
265,IssacandAsimov,3166,anilist_data_20260311_130200/user_265_IssacandAsimov.json
274,Mikhool,531,anilist_data_20260311_130200/user_274_Mikhool.json
282,NixS,183,anilist_data_20260311_130200/user_282_NixS.json
285,Kaero,687,anilist_data_20260311_130200/user_285_Kaero.json
286,lita,383,anilist_data_20260311_130200/user_286_lita.json
293,thatoneweirdguy,447,anilist_data_20260311_130200/user_293_thatoneweirdguy.json
302,Jaka,1773,anilist_data_20260311_130200/user_302_Jaka.json
312,NeroKyoko,916,anilist_data_20260311_130200/user_312_NeroKyoko.json
322,VoltageKnight,630,anilist_data_20260311_130200/user_322_VoltageKnight.json
324,Blastoise,296,anilist_data_20260311_130200/user_324_Blastoise.json
328,milquetoasti,643,anilist_data_20260311_130200/user_328_milquetoasti.json
330,KaizenHwk,261,anilist_data_20260311_130200/user_330_KaizenHwk.json
331,Grauger,71,anilist_data_20260311_130200/user_331_Grauger.json
345,Gigg44,2536,anilist_data_20260311_130200/user_345_Gigg44.json
346,hitsugaya17,73,anilist_data_20260311_130200/user_346_hitsugaya17.json
353,aimaisa,891,anilist_data_20260311_130200/user_353_aimaisa.json
354,ReloadOnFire,333,anilist_data_20260311_130200/user_354_ReloadOnFire.json
